Famille;Nom;Energie (kcal/100g);Protéines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Eau (g/100g);;Portion (g) ;Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Plats à base de viande ou volaille;Brochette mixte de viande;209;19,3;1,72;13,8;1,01;63,4;;300;627;57,9;5,16;41,4;190,2
Plats à base de viande ou volaille;Burritos ou Fajitas;172;8,22;18,5;6,53;0;61,8;;300;516;24,66;55,5;19,59;185,4
Plats à base de viande ou volaille;Carpaccio de boeuf;278;15,2;2,38;23;0,498;57;;300;834;45,6;7,14;69;171
Plats à base de viande ou volaille;Cassoulet, appertisé;136;8,58;8,39;6,76;1,18;71;;300;408;25,74;25,17;20,28;213
Plats à base de viande ou volaille;Chili con carne;111;11;8,72;2,93;5,16;72,5;;300;333;33;26,16;8,79;217,5
Plats à base de viande ou volaille;Coq au vin;91,3;8,8;3,57;4,65;1;81,7;;300;273,9;26,4;10,71;13,95;245,1
Plats à base de viande ou volaille;Cordon bleu de volaille;230;14,7;10,9;14;1,15;57,4;;300;690;44,1;32,7;42;172,2
Plats à base de viande ou volaille;Feuilleté ou Friand à la viande;331;12,7;17;24,2;1,43;40,4;;300;993;38,1;51;72,6;121,2
Plats à base de viande ou volaille;Gratin d'endives et jambon;90,9;5,84;3,32;5,56;1,23;81,8;;300;272,7;17,52;9,96;16,68;245,4
Plats à base de viande ou volaille;Hachis Parmentier;145;5,44;9,07;9,59;5,11;74,5;;300;435;16,32;27,21;28,77;223,5
Plats à base de viande ou volaille;Légumes farcis (sauf tomate);107;4,32;4,28;7,83;2,49;81;;300;321;12,96;12,84;23,49;243
Plats à base de viande ou volaille;Moussaka;138;7,6;4,39;9,75;2,5;76;;300;414;22,8;13,17;29,25;228
Plats à base de viande ou volaille;Navarin d'agneau;139;11,4;3,39;8,61;1,67;73,7;;300;417;34,2;10,17;25,83;221,1
Plats à base de viande ou volaille;Nuggets de volaille;188;13,1;7,2;11,5;0,0947;56,5;;300;564;39,3;21,6;34,5;169,5
Plats à base de viande ou volaille;Osso buco à la milanaise;102;11;4,97;4,08;1,1;77,4;;300;306;33;14,91;12,24;232,2
Plats à base de viande ou volaille;Paupiette de veau;182;14,9;9,79;8,94;5,71;64,1;;300;546;44,7;29,37;26,82;192,3
Plats à base de viande ou volaille;Paupiette de volaille;166;14,4;9,47;7,58;5,72;65,8;;300;498;43,2;28,41;22,74;197,4
Plats à base de viande ou volaille;Petit salé ou saucisse aux lentilles;131;10,8;6,53;6,14;0,02;72,1;;300;393;32,4;19,59;18,42;216,3
Plats à base de viande ou volaille;Pot0au0feu;72,3;10,9;1,88;2,02;0;82,9;;300;216,9;32,7;5,64;6,06;248,7
Plats à base de viande ou volaille;Potée auvergnate;88,4;5,8;3,31;5,35;0,875;82,8;;300;265,2;17,4;9,93;16,05;248,4
Plats à base de viande ou volaille;Poulet au curry;116;17,9;0,358;4,49;0,285;72,8;;300;348;53,7;1,074;13,47;218,4
Plats à base de viande ou volaille;Poulet au curry, avec riz ou semoule, préemballé;123;7,91;17,4;1,91;2,18;69,4;;300;369;23,73;52,2;5,73;208,2
Plats à base de viande ou volaille;Poulet basquaise au riz;101;5,7;13,3;2,6;0,5;77,8;;300;303;17,1;39,9;7,8;233,4
Plats à base de viande ou volaille;Poulet basquaise aux pâtes;96,6;5,7;12,3;2,6;0,8;77,8;;300;289,8;17,1;36,9;7,8;233,4
Plats à base de viande ou volaille;Tajine de mouton;133;12,8;4,88;6,83;2,4;73;;300;399;38,4;14,64;20,49;219
Plats à base de viande ou volaille;Tajine poulet et semoule;130;8,02;19;2,02;1,6;68,1;;300;390;24,06;57;6,06;204,3
Plats à base de viande ou volaille;Tomate farcie;122;6,9;1,68;9,38;0,895;79,9;;300;366;20,7;5,04;28,14;239,7
Plats à base de viande ou volaille;Tripes à la mode de Caen;104;16,4;2,39;3,24;0;76,5;;300;312;49,2;7,17;9,72;229,5
Plats à base de viande ou volaille;Veau, escalope panée, cuite;271;22,7;12,9;14,1;0,487;47,8;;300;813;68,1;38,7;42,3;143,4
Poissons et batraciens non transformés;Anchois commun, cru;109;19,4;0;3,48;0;73,1;;120;130,8;23,28;0;4,176;87,72
Poissons et batraciens non transformés;Anguille, cuite au four;230;23,7;0;15;0;59,3;;120;276;28,44;0;18;71,16
Poissons et batraciens non transformés;Anguille, pochée;217;20,5;0;15;0;62;;120;260,4;24,6;0;18;74,4
Poissons et batraciens non transformés;Bar commun ou Loup, cru;96,4;19,3;0;2,13;0;78,6;;120;115,68;23,16;0;2,556;94,32
Poissons et batraciens non transformés;Bar commun ou Loup, cuit au four;154;23,6;0;6,61;0;68,4;;120;184,8;28,32;0;7,932;82,08
Poissons et batraciens non transformés;Brochet, cuit au four;96,6;21,5;0;1,18;0;76,5;;120;115,92;25,8;0;1,416;91,8
Poissons et batraciens non transformés;Cabillaud, cuit à la vapeur;82,7;18,6;0;0,925;0;76,3;;120;99,24;22,32;0;1,11;91,56
Poissons et batraciens non transformés;Cabillaud, cuit au four;93,7;21,4;0;0,898;0;76,3;;120;112,44;25,68;0;1,0776;91,56
Poissons et batraciens non transformés;Carpe, cuite au four;127;20,4;0;5;0;73,3;;120;152,4;24,48;0;6;87,96
Poissons et batraciens non transformés;Carrelet ou Plie, cuit à la vapeur;84,3;19;0;0,925;0;78;;120;101,16;22,8;0;1,11;93,6
Poissons et batraciens non transformés;Daurade grise, Dorade grise ou Griset, crue;124;20,1;0;4,81;0;74;;120;148,8;24,12;0;5,772;88,8
Poissons et batraciens non transformés;Églefin, à la vapeur;89;20,9;0;0,6;0;78,3;;120;106,8;25,08;0;0,72;93,96
Poissons et batraciens non transformés;Éperlan, cru;84,9;17,4;0;1,7;0;80,2;;120;101,88;20,88;0;2,04;96,24
Poissons et batraciens non transformés;Espadon, cuit au four;191;22,9;0;11;0;64,2;;120;229,2;27,48;0;13,2;77,04
Poissons et batraciens non transformés;Flétan (de l'Atlantique), cru;93,1;21,1;0;0,965;0;77,7;;120;111,72;25,32;0;1,158;93,24
Poissons et batraciens non transformés;Grenouille, cuisse, crue;66,8;16,1;0;0,267;0;81,9;;120;80,16;19,32;0;0,3204;98,28
Poissons et batraciens non transformés;Hareng, frit;184;23;0;10,2;0;64;;120;220,8;27,6;0;12,24;76,8
Poissons et batraciens non transformés;Hareng, grillé;181;20,1;0;11,2;0;63,9;;120;217,2;24,12;0;13,44;76,68
Poissons et batraciens non transformés;Julienne ou Lingue, crue;81,5;18,8;0;0,7;0;79,3;;120;97,8;22,56;0;0,84;95,16
Poissons et batraciens non transformés;Lieu noir, congelé;79,2;18,8;0;0,44;0;77;;120;95,04;22,56;0;0,528;92,4
Poissons et batraciens non transformés;Lieu noir, cru;81,8;18,2;0;0,997;0;79,3;;120;98,16;21,84;0;1,1964;95,16
Poissons et batraciens non transformés;Lieu noir, cuit;102;23,1;0;1,1;0;77,1;;120;122,4;27,72;0;1,32;92,52
Poissons et batraciens non transformés;Lieu ou colin d'Alaska, cru;63,9;15,3;0;0,6;0;82,5;;120;76,68;18,36;0;0,72;99
Poissons et batraciens non transformés;Limande, crue;78,5;16,6;0;1,34;0;80,8;;120;94,2;19,92;0;1,608;96,96
Poissons et batraciens non transformés;Limande0sole, à la vapeur;96,6;20,6;0;1,58;0;77,1;;120;115,92;24,72;0;1,896;92,52
Poissons et batraciens non transformés;Lotte ou Baudroie, grillée;96,6;22,7;0;0,64;0;75,4;;120;115,92;27,24;0;0,768;90,48
Poissons et batraciens non transformés;Maquereau, cuit au four;238;23,9;0;15,8;0;61,5;;120;285,6;28,68;0;18,96;73,8
Poissons et batraciens non transformés;Maquereau, frit;186;23,6;0;10,2;0;64,6;;120;223,2;28,32;0;12,24;77,52
Poissons et batraciens non transformés;Merlan, à la vapeur;90,8;20,9;0;0,8;0;76;;120;108,96;25,08;0;0,96;91,2
Poissons et batraciens non transformés;Merlan, cru;79,9;19,1;0;0,78;0;79,6;;120;95,88;22,92;0;0,936;95,52
Poissons et batraciens non transformés;Merlan, frit;125;23,1;0;3,6;0;71,4;;120;150;27,72;0;4,32;85,68
Poissons et batraciens non transformés;Merlu blanc du Cap, surgelé;91,5;17,6;0;2,34;0;77,1;;120;109,8;21,12;0;2,808;92,52
Poissons et batraciens non transformés;Merlu, cuit à l'étouffée;112;21,2;0;3;0;74,4;;120;134,4;25,44;0;3,6;89,28
Poissons et batraciens non transformés;Mulet, cuit au four;143;24,8;0;4,86;0;70,5;;120;171,6;29,76;0;5,832;84,6
Poissons et batraciens non transformés;Perche, cuite au four;130;24,7;0;3,42;0;73,7;;120;156;29,64;0;4,104;88,44
Poissons et batraciens non transformés;Poisson pané, frit;199;8,6;15,3;11,3;0;62,2;;120;238,8;10,32;18,36;13,56;74,64
Poissons et batraciens non transformés;Raie, cuite au court0bouillon;98,5;23,2;0;0,63;0;73,7;;120;118,2;27,84;0;0,756;88,44
Poissons et batraciens non transformés;Raie, cuite au four;80,1;18,9;0;0,5;0;75,9;;120;96,12;22,68;0;0,6;91,08
Poissons et batraciens non transformés;Rascasse, crue;90,8;19;0;1,64;0;79;;120;108,96;22,8;0;1,968;94,8
Poissons et batraciens non transformés;Rouget0barbet de roche, cuit à l'étouffée;116;23,2;0;2,6;0;74,2;;120;139,2;27,84;0;3,12;89,04
Poissons et batraciens non transformés;Roussette, cuite;105;25,4;0;0,35;0;73,2;;120;126;30,48;0;0,42;87,84
Poissons et batraciens non transformés;Sardine, grillée;214;30;0;10,4;0;55,7;;120;256,8;36;0;12,48;66,84
Poissons et batraciens non transformés;Saumon, cru, élevage;181;19,9;0;11,3;0;65,9;;120;217,2;23,88;0;13,56;79,08
